Тип договора;Январь;Феврфль;Март;Апреоь;Май;Июнь;Июль;Август;Сентябрь
БСК;25;18;46;23;31;29;40;30;19
Ведение беременности;61;49;54;50;56;55;38;42;53
Госпитализация;1569;1611;1676;1684;1577;1359;1380;1411;1516
Детство;120;148;127;133;119;142;136;232;177
ДОГОВОР НА ОКАЗАНИЕ ФОТО-ВИДЕОУСЛУГ;29;22;17;19;25;25;24;31;17
Другое;163;195;200;187;196;227;228;234;180
ЛДЦ;85;87;99;107;82;95;101;110;105
Подарочный Сертификат;0;0;0;0;0;0;0;0;1
ПРОГРАММЫ ПО АКУШЕРСТВУ И ГИНЕКОЛОГИИ КДЦ;8;3;2;5;4;7;2;6;3
ПРОГРАММЫ ПО СТОМАТОЛОГИИ;3;10;6;5;6;9;1;12;5
Роды;168;164;206;195;227;192;218;207;206
ЭКО;358;402;352;406;380;354;298;315;343
